resume_text,category
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 59. Additional skills include problem-solving, teamwork, and communication. ",Product Manager
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 60. Additional skills include problem-solving, teamwork, and communication.                          ",DevOps Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 61. Additional skills include problem-solving, teamwork, and communication.              ",Machine Learning Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 62. Additional skills include problem-solving, teamwork, and communication.                           ",Machine Learning Engineer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 63. Additional skills include problem-solving, teamwork, and communication.               ",Backend Developer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 64. Additional skills include problem-solving, teamwork, and communication.                                          ",Full Stack Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 65. Additional skills include problem-solving, teamwork, and communication.                                ",Product Manager
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 66. Additional skills include problem-solving, teamwork, and communication.                                                 ",Machine Learning Engineer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 67. Additional skills include problem-solving, teamwork, and communication.                                ",UX Designer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 68. Additional skills include problem-solving, teamwork, and communication.                              ",UX Designer
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 69. Additional skills include problem-solving, teamwork, and communication.                       ",DevOps Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 70. Additional skills include problem-solving, teamwork, and communication.                                             ",Machine Learning Engineer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 71. Additional skills include problem-solving, teamwork, and communication.             ",UX Designer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 72. Additional skills include problem-solving, teamwork, and communication.                      ",Machine Learning Engineer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 73. Additional skills include problem-solving, teamwork, and communication.                                          ",Software Engineer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 74. Additional skills include problem-solving, teamwork, and communication.      ",Backend Developer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 75. Additional skills include problem-solving, teamwork, and communication.                              ",UX Designer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 76. Additional skills include problem-solving, teamwork, and communication.                            ",Full Stack Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 77. Additional skills include problem-solving, teamwork, and communication.                                       ",Backend Developer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 78. Additional skills include problem-solving, teamwork, and communication. ",Data Scientist
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 79. Additional skills include problem-solving, teamwork, and communication.                           ",Backend Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 80. Additional skills include problem-solving, teamwork, and communication.             ",Backend Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 81. Additional skills include problem-solving, teamwork, and communication.   ",Backend Developer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 82. Additional skills include problem-solving, teamwork, and communication.      ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 83. Additional skills include problem-solving, teamwork, and communication.                           ",Frontend Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 84. Additional skills include problem-solving, teamwork, and communication.                                     ",Backend Developer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 85. Additional skills include problem-solving, teamwork, and communication.                                          ",Data Scientist
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 86. Additional skills include problem-solving, teamwork, and communication.               ",Frontend Developer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 87. Additional skills include problem-solving, teamwork, and communication.                                ",Data Analyst
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 88. Additional skills include problem-solving, teamwork, and communication.                                         ",Frontend Developer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 89. Additional skills include problem-solving, teamwork, and communication.                                                 ",UX Designer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 90. Additional skills include problem-solving, teamwork, and communication.            ",Data Scientist
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 91. Additional skills include problem-solving, teamwork, and communication.  ",Machine Learning Engineer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 92. Additional skills include problem-solving, teamwork, and communication.                                                 ",Product Manager
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 93. Additional skills include problem-solving, teamwork, and communication.                                                 ",DevOps Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 94. Additional skills include problem-solving, teamwork, and communication.                 ",Frontend Developer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 95. Additional skills include problem-solving, teamwork, and communication.  ",Data Scientist
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 96. Additional skills include problem-solving, teamwork, and communication.                            ",Software Engineer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 97. Additional skills include problem-solving, teamwork, and communication.                       ",Data Analyst
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 98. Additional skills include problem-solving, teamwork, and communication.                                ",DevOps Engineer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 99. Additional skills include problem-solving, teamwork, and communication. ",Data Scientist
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 100. Additional skills include problem-solving, teamwork, and communication.  ",Product Manager
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 101. Additional skills include problem-solving, teamwork, and communication.                                            ",DevOps Engineer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 102. Additional skills include problem-solving, teamwork, and communication.                                ",Full Stack Developer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 103. Additional skills include problem-solving, teamwork, and communication.                                ",Data Analyst
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 104. Additional skills include problem-solving, teamwork, and communication.    ",Machine Learning Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 105. Additional skills include problem-solving, teamwork, and communication.           ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 106. Additional skills include problem-solving, teamwork, and communication.                 ",Frontend Developer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 107. Additional skills include problem-solving, teamwork, and communication.                        ",Data Analyst
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 108. Additional skills include problem-solving, teamwork, and communication.                                  ",DevOps Engineer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 109. Additional skills include problem-solving, teamwork, and communication.                      ",Data Analyst
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 110. Additional skills include problem-solving, teamwork, and communication.         ",Data Scientist
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 111. Additional skills include problem-solving, teamwork, and communication.                ",Data Analyst
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 112. Additional skills include problem-solving, teamwork, and communication.                    ",Product Manager
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 113. Additional skills include problem-solving, teamwork, and communication.                   ",UX Designer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 114. Additional skills include problem-solving, teamwork, and communication.   ",Full Stack Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 115. Additional skills include problem-solving, teamwork, and communication.                    ",Product Manager
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 116. Additional skills include problem-solving, teamwork, and communication.                                         ",Machine Learning Engineer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 117. Additional skills include problem-solving, teamwork, and communication.                                        ",Data Scientist
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 118. Additional skills include problem-solving, teamwork, and communication.                  ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 119. Additional skills include problem-solving, teamwork, and communication. ",Frontend Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 120. Additional skills include problem-solving, teamwork, and communication.                         ",Backend Developer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 121. Additional skills include problem-solving, teamwork, and communication.                       ",Software Engineer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 122. Additional skills include problem-solving, teamwork, and communication.                                   ",Full Stack Developer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 123. Additional skills include problem-solving, teamwork, and communication.                ",Machine Learning Engineer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 124. Additional skills include problem-solving, teamwork, and communication.                                                ",Full Stack Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 125. Additional skills include problem-solving, teamwork, and communication.                                                 ",Backend Developer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 126. Additional skills include problem-solving, teamwork, and communication. ",Software Engineer
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 127. Additional skills include problem-solving, teamwork, and communication.                                     ",DevOps Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 128. Additional skills include problem-solving, teamwork, and communication.         ",Machine Learning Engineer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 129. Additional skills include problem-solving, teamwork, and communication.                                   ",Backend Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 130. Additional skills include problem-solving, teamwork, and communication.                                                ",Product Manager
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 131. Additional skills include problem-solving, teamwork, and communication.                    ",Product Manager
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 132. Additional skills include problem-solving, teamwork, and communication.                                 ",Frontend Developer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 133. Additional skills include problem-solving, teamwork, and communication.           ",Frontend Developer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 134. Additional skills include problem-solving, teamwork, and communication.        ",Data Scientist
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 135. Additional skills include problem-solving, teamwork, and communication.                                      ",UX Designer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 136. Additional skills include problem-solving, teamwork, and communication.                    ",Frontend Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 137. Additional skills include problem-solving, teamwork, and communication.                                                ",Product Manager
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 138. Additional skills include problem-solving, teamwork, and communication.                                   ",Backend Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 139. Additional skills include problem-solving, teamwork, and communication.                             ",Backend Developer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 140. Additional skills include problem-solving, teamwork, and communication.                                              ",Software Engineer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 141. Additional skills include problem-solving, teamwork, and communication.  ",Software Engineer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 142. Additional skills include problem-solving, teamwork, and communication.                                   ",Data Analyst
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 143. Additional skills include problem-solving, teamwork, and communication.                                    ",Backend Developer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 144. Additional skills include problem-solving, teamwork, and communication.    ",Data Scientist
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 145. Additional skills include problem-solving, teamwork, and communication.              ",Data Scientist
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 146. Additional skills include problem-solving, teamwork, and communication.                                                ",DevOps Engineer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 147. Additional skills include problem-solving, teamwork, and communication.        ",UX Designer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 148. Additional skills include problem-solving, teamwork, and communication.   ",Machine Learning Engineer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 149. Additional skills include problem-solving, teamwork, and communication.                                 ",Data Scientist
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 150. Additional skills include problem-solving, teamwork, and communication.                      ",Product Manager
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 151. Additional skills include problem-solving, teamwork, and communication.                      ",Machine Learning Engineer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 152. Additional skills include problem-solving, teamwork, and communication.                                      ",Data Analyst
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 153. Additional skills include problem-solving, teamwork, and communication.        ",Product Manager
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 154. Additional skills include problem-solving, teamwork, and communication.                     ",Software Engineer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 155. Additional skills include problem-solving, teamwork, and communication.                            ",Data Scientist
